ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
130,13,10,5,12,15,132,164,73,53,32,22,25,24,21,17,7,5,7,19,2017
131,29,21,28,39,48,287,202,122,84,67,75,65,62,49,47,48,37,19,43,2017
132,18,15,13,22,27,75,78,63,50,51,31,38,22,24,19,19,36,23,37,2017
133,11,10,15,30,42,38,42,36,45,48,55,73,88,55,54,46,36,19,17,2017
134,1,3,0,3,3,16,9,3,2,2,4,4,1,3,2,2,0,0,0,2017
140,32,25,39,37,60,73,76,81,76,65,92,96,89,40,37,53,54,28,32,2017
150,26,19,28,37,32,62,62,58,49,68,58,62,30,31,25,25,22,14,17,2017
151,1,1,1,5,37,87,110,77,56,28,22,23,17,3,2,8,6,0,0,2017
152,8,5,11,30,15,3,30,26,18,33,23,32,31,12,22,14,12,7,4,2017
153,13,13,16,10,9,26,28,43,37,13,25,28,20,17,9,4,4,0,0,2017
200,31,18,21,30,40,86,73,67,59,60,59,58,68,49,59,51,42,16,22,2017
201,19,17,8,19,35,73,53,59,36,42,53,66,52,51,51,46,26,16,33,2017
202,10,15,10,15,19,42,34,46,31,45,25,40,24,17,25,17,22,17,22,2017
203,13,15,24,26,25,30,42,35,45,25,43,68,47,57,46,53,52,37,40,2017
210,17,23,21,24,19,53,68,48,43,50,51,47,44,54,46,54,25,10,13,2017
211,22,29,32,47,51,214,165,117,80,48,86,72,73,68,64,47,37,26,32,2017
212,11,17,15,18,12,43,62,45,27,29,41,43,35,31,22,25,27,12,10,2017
213,15,16,19,33,32,37,30,25,35,42,59,71,48,37,51,41,60,26,16,2017
214,31,24,25,40,41,137,111,83,93,52,72,57,42,44,59,32,43,13,13,2017
215,21,17,24,24,35,125,108,78,63,60,59,63,57,36,40,36,27,17,25,2017
220,30,29,31,45,57,63,63,49,57,54,60,87,71,72,61,53,26,19,11,2017
221,12,13,20,27,23,46,45,43,34,28,51,59,54,43,47,47,31,19,23,2017
222,6,11,13,16,27,21,21,23,24,20,38,51,37,33,46,34,26,16,8,2017
223,13,11,8,15,22,52,49,41,23,30,36,40,36,31,28,23,31,40,65,2017
224,12,5,5,18,16,33,38,28,22,30,34,35,40,26,34,17,18,32,29,2017
230,18,23,18,25,38,129,102,81,75,66,60,98,83,50,47,58,49,39,35,2017
231,32,34,65,120,109,90,92,85,100,146,118,94,72,39,50,32,46,20,72,2017
232,14,11,15,21,31,61,71,72,50,59,63,48,28,32,28,32,23,11,11,2017
240,22,9,18,28,24,87,117,78,65,48,63,57,57,47,40,37,36,26,43,2017
241,45,40,21,34,59,138,121,120,86,71,89,84,73,55,54,51,62,48,55,2017
242,15,16,20,15,22,53,69,52,34,48,55,54,49,55,46,32,37,10,17,2017
243,10,1,6,8,13,63,35,30,21,16,15,11,12,11,6,8,6,1,2,2017
244,22,17,22,37,34,105,107,94,75,45,85,93,62,57,61,51,34,12,9,2017
245,32,21,43,31,54,101,114,93,92,97,89,96,75,58,49,35,27,14,19,2017
246,24,26,29,41,25,54,73,63,58,32,43,46,51,37,63,28,37,9,11,2017
250,37,24,55,55,48,101,118,89,75,70,59,88,79,60,72,89,54,28,24,2017
251,21,12,18,12,29,35,42,38,25,22,36,31,18,27,28,33,46,38,27,2017
252,19,23,33,38,34,25,38,40,32,38,46,34,47,35,46,46,36,24,17,2017
253,21,18,27,21,37,38,53,39,35,38,50,61,66,37,25,25,17,35,32,2017
254,16,19,17,42,39,51,52,43,43,36,60,84,72,58,45,59,63,52,27,2017
255,32,32,57,94,97,93,88,82,88,81,104,135,108,75,107,158,168,86,55,2017
256,36,66,85,80,86,104,130,132,128,98,98,91,69,67,65,48,55,38,25,2017
260,10,10,18,24,19,15,21,29,18,24,39,41,25,26,44,57,44,11,6,2017
261,12,12,25,39,53,62,39,40,42,44,65,78,57,38,60,87,82,33,37,2017
262,16,17,21,42,29,51,40,41,42,35,58,48,38,31,27,45,58,37,24,2017
263,68,76,172,233,230,188,119,169,206,241,257,214,153,112,160,167,109,68,82,2017
300,34,31,32,48,49,117,111,90,90,65,99,87,79,75,66,43,63,34,101,2017
301,27,16,26,34,46,134,158,127,95,80,79,107,87,67,73,39,49,24,37,2017
302,34,18,30,48,31,130,152,93,72,56,65,60,63,48,42,38,39,20,32,2017
303,30,26,29,30,45,101,126,117,70,74,78,94,98,51,51,47,42,26,32,2017
304,19,14,31,38,51,91,117,103,74,54,83,75,62,48,37,44,37,26,24,2017
305,17,10,13,18,33,33,31,44,44,28,37,50,38,29,18,30,20,12,15,2017
306,2,1,3,2,10,5,3,4,5,7,10,8,7,5,9,11,4,2,6,2017
310,27,30,42,48,53,41,41,47,43,56,67,67,62,49,39,20,21,11,23,2017
311,8,6,9,10,6,12,13,15,16,11,12,19,11,8,5,3,7,3,0,2017
320,50,41,32,53,117,501,319,167,113,104,124,120,105,81,72,42,36,22,10,2017
321,39,18,17,16,34,242,229,134,91,56,61,62,57,30,34,27,29,23,13,2017
322,78,54,76,92,130,411,374,237,178,154,144,176,152,139,118,135,131,64,67,2017
323,2,1,3,2,4,21,33,17,14,9,7,4,7,4,5,2,2,1,0,2017
330,28,24,29,31,44,161,176,97,77,52,56,47,51,37,47,29,25,14,18,2017
331,8,6,11,13,13,30,36,33,16,18,22,24,21,18,17,20,16,9,11,2017
332,26,11,10,13,36,123,156,91,91,48,79,52,59,69,39,35,24,12,4,2017
333,57,47,77,103,111,175,218,199,177,192,169,195,129,118,88,79,72,27,24,2017
334,34,21,21,20,56,164,190,120,97,81,76,85,61,41,36,25,30,18,18,2017
335,70,49,59,74,67,231,268,200,169,178,129,151,131,125,101,105,69,44,22,2017
336,6,5,5,11,21,140,110,37,20,18,25,17,25,14,20,9,11,14,10,2017
337,0,0,2,0,2,1,1,0,1,2,0,2,3,0,0,0,0,0,2,2017
338,0,1,1,0,0,1,0,0,2,2,0,0,0,2,0,0,0,1,1,2017
339,0,0,0,0,2,1,2,0,0,2,2,1,2,2,5,1,0,0,1,2017
340,16,22,38,40,55,131,101,62,48,51,37,41,46,44,38,25,16,5,5,2017
341,58,72,151,185,197,229,201,182,200,220,206,229,172,132,87,100,103,59,96,2017
342,7,10,9,15,19,20,24,22,19,17,24,35,27,14,17,21,34,12,7,2017
343,10,14,8,20,15,70,73,66,35,28,39,47,46,30,24,16,12,9,11,2017
344,5,4,11,4,12,20,24,29,11,16,17,26,24,20,16,20,14,6,8,2017
345,23,16,21,12,21,88,84,59,34,31,22,26,29,19,26,25,16,8,3,2017
350,33,33,37,37,48,61,77,95,92,99,80,86,75,56,58,72,69,41,53,2017
351,10,9,15,20,16,27,48,38,38,30,33,29,36,14,18,19,31,9,14,2017
352,6,9,12,17,12,23,26,19,30,21,28,23,29,18,11,11,24,8,7,2017
353,11,6,8,23,26,31,29,31,29,25,38,40,35,25,27,35,34,16,18,2017
354,21,14,22,28,31,29,46,43,58,46,53,49,40,16,36,37,39,12,16,2017
355,6,8,8,16,21,20,35,18,21,20,30,19,20,14,12,17,15,5,8,2017
356,22,14,30,25,25,49,44,48,58,47,40,43,50,42,46,47,43,13,18,2017
357,24,19,29,53,55,71,75,71,42,52,66,163,176,115,87,37,27,13,4,2017
360,55,52,56,55,75,121,147,161,148,94,130,141,120,106,97,81,70,19,15,2017
361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
400,20,23,26,35,33,49,78,66,56,44,57,57,60,28,48,38,27,17,25,2017
401,22,13,15,28,24,25,39,50,46,44,51,28,27,14,17,16,13,5,17,2017
402,23,12,19,22,21,51,56,75,51,48,54,48,22,36,34,24,27,14,8,2017
403,10,8,17,12,14,48,46,23,17,27,34,31,22,30,24,19,19,12,13,2017
404,5,5,11,9,14,13,9,14,11,14,26,23,19,15,12,9,9,4,6,2017
410,5,5,5,9,8,7,7,5,6,9,10,21,9,6,6,6,8,6,3,2017
420,24,13,17,19,27,72,90,49,53,43,22,26,31,19,16,9,8,4,3,2017
430,3,4,7,9,17,29,30,23,20,18,29,22,30,24,30,22,35,15,17,2017
431,45,49,66,94,88,104,91,96,94,105,111,107,108,130,127,136,121,45,37,2017
500,21,18,22,31,28,42,36,56,34,43,58,61,25,28,24,18,15,10,2,2017
501,18,7,10,15,18,16,22,34,33,22,28,13,11,13,7,8,8,6,6,2017
502,5,5,5,10,4,8,8,11,13,7,5,4,12,6,8,9,2,2,4,2017
510,18,21,45,41,37,59,75,83,79,75,81,83,50,47,46,18,24,13,5,2017
511,16,21,36,35,40,54,63,65,51,49,68,66,31,37,38,66,85,44,43,2017
512,25,21,27,48,57,90,82,67,58,55,70,90,62,59,47,24,37,18,19,2017
513,19,13,28,63,60,36,48,40,48,56,63,67,46,33,28,13,17,13,23,2017
514,11,8,18,26,42,50,41,27,28,57,70,75,63,39,43,52,18,13,20,2017
520,7,10,25,23,46,138,131,64,46,34,22,17,8,7,2,2,1,0,2,2017
521,0,0,0,1,7,9,18,6,4,6,6,5,4,3,1,2,2,1,1,2017
522,0,0,0,0,0,2,0,2,3,2,2,2,2,1,0,0,0,0,0,2017
600,3,8,5,3,6,16,15,18,13,12,7,10,18,10,7,10,5,3,4,2017
601,12,16,24,32,28,38,31,30,43,49,51,58,42,30,32,31,31,11,7,2017
602,13,23,22,32,39,35,28,51,33,22,40,47,36,22,24,32,33,23,17,2017
603,7,1,0,5,8,19,12,14,12,8,13,14,17,9,7,9,7,2,5,2017
604,5,6,5,5,3,3,8,11,13,16,15,15,14,19,15,29,30,11,8,2017
605,1,0,0,0,1,1,1,0,1,0,2,1,0,1,1,1,0,0,1,2017
610,24,22,26,27,28,41,49,32,57,48,46,41,47,48,38,53,44,26,24,2017
611,11,16,21,21,41,27,40,35,40,51,70,61,47,39,26,26,19,7,7,2017
612,39,36,48,42,41,49,72,86,90,91,103,91,62,56,35,49,37,27,30,2017
620,7,5,3,4,21,48,29,28,25,25,32,34,13,14,15,13,12,6,3,2017
621,22,11,21,21,31,57,55,49,47,41,63,58,41,28,21,26,17,5,5,2017
622,35,27,28,34,51,75,92,70,71,67,80,73,56,43,52,43,34,8,8,2017
630,51,42,59,59,77,85,94,88,89,75,76,100,86,68,81,68,100,50,45,2017
631,12,16,16,35,46,33,29,26,29,38,50,43,31,66,118,102,96,46,72,2017
632,18,19,19,40,36,41,46,39,45,63,63,56,50,37,38,38,47,31,30,2017
633,36,35,45,81,45,56,57,64,58,73,70,80,75,46,95,134,102,38,13,2017
634,18,17,30,36,35,21,29,31,42,32,32,30,29,77,89,51,23,7,3,2017
700,17,17,32,27,34,25,21,39,26,38,59,35,23,44,28,36,28,15,12,2017
800,16,18,20,31,38,33,35,41,30,37,39,52,45,27,36,41,34,15,18,2017
801,27,41,45,67,75,60,63,59,75,69,122,96,83,53,40,46,39,16,22,2017
802,21,14,23,31,19,26,32,47,52,38,48,50,41,47,56,68,58,25,20,2017
0,3,5,8,5,12,50,46,20,28,23,16,26,25,21,14,13,13,15,2,2016
1,16,11,21,18,40,217,181,89,55,47,36,48,38,38,34,25,25,17,17,2016
10,9,5,7,5,12,63,55,39,25,25,28,20,25,15,12,20,10,8,8,2016
11,23,11,20,20,56,142,134,93,60,51,66,64,42,44,34,21,13,8,5,2016
12,27,20,23,27,46,145,136,81,72,69,61,78,57,45,54,54,37,18,15,2016
13,8,10,11,17,10,65,38,29,23,25,28,31,25,22,26,31,26,18,77,2016
14,18,16,15,20,19,82,70,43,45,37,33,30,27,26,20,18,9,6,4,2016
15,11,11,13,15,16,30,41,41,31,27,37,20,11,10,22,14,13,6,6,2016
20,7,5,7,5,17,85,84,40,46,22,28,22,15,13,12,12,2,7,10,2016
21,19,14,18,12,39,228,182,96,49,45,48,39,55,32,34,33,33,28,66,2016
30,14,13,15,22,36,183,164,84,68,43,57,47,50,33,30,27,30,21,13,2016
31,14,8,9,17,34,167,138,80,34,30,24,24,12,19,8,8,3,3,4,2016
32,12,10,11,17,21,124,96,60,58,37,30,34,29,19,34,37,27,20,39,2016
33,2,1,2,0,27,82,20,15,9,1,4,2,3,2,3,4,3,2,0,2016
40,9,2,6,11,15,72,88,30,15,15,22,18,11,13,15,15,9,3,8,2016
41,13,23,8,11,43,300,247,91,63,40,53,39,42,44,37,15,19,13,14,2016
50,19,18,11,7,18,38,39,50,26,24,20,15,28,15,14,9,11,3,6,2016
51,22,22,16,27,43,179,132,84,71,73,56,50,47,48,41,33,20,8,6,2016
52,14,8,15,15,20,82,84,59,38,39,38,33,29,37,25,26,14,7,3,2016
53,13,5,15,18,39,110,97,62,46,56,80,53,35,15,14,35,30,13,10,2016
60,28,27,40,43,47,85,105,70,59,48,60,44,48,40,38,37,27,14,15,2016
61,12,12,18,12,20,73,79,67,28,42,24,30,33,23,25,26,19,15,7,2016
70,18,14,29,28,33,51,81,48,51,48,59,49,51,36,28,32,31,17,19,2016
71,20,16,27,44,24,66,50,52,52,41,62,54,48,22,27,34,37,22,18,2016
72,44,28,33,56,47,109,99,93,79,92,94,117,79,57,69,61,41,27,30,2016
73,16,15,15,20,18,39,55,38,37,31,43,44,54,37,26,26,25,13,14,2016
74,18,12,22,32,36,79,67,63,52,50,79,79,56,36,42,33,21,13,27,2016
75,12,12,22,19,32,47,59,45,34,37,37,41,46,29,37,44,61,78,201,2016
80,51,49,60,81,77,89,81,86,92,79,123,158,114,92,86,67,48,20,11,2016
81,6,10,10,17,20,13,18,17,14,17,33,22,27,19,20,17,13,8,10,2016
100,19,15,13,19,39,170,147,86,51,45,28,34,40,40,25,20,20,11,15,2016
101,7,4,8,5,11,145,124,80,54,50,54,36,41,33,21,23,12,3,10,2016
102,23,17,16,22,42,166,159,107,81,67,49,73,47,43,40,31,29,10,12,2016
103,5,0,17,10,14,41,50,24,30,31,20,16,8,2,5,7,4,4,2,2016
104,19,16,19,19,31,117,122,60,51,35,48,45,30,39,29,29,18,7,8,2016
105,4,4,11,9,8,63,52,26,27,15,18,17,23,18,15,18,11,17,59,2016
106,16,4,9,8,17,73,70,49,40,40,32,25,21,22,9,17,13,5,6,2016
107,8,14,10,7,12,43,47,48,25,28,16,24,18,15,11,19,13,6,9,2016
110,7,10,7,13,21,123,92,57,32,32,37,29,24,15,33,16,11,9,18,2016
111,17,12,27,24,40,167,121,83,52,53,56,41,44,29,23,41,29,23,23,2016
114,30,29,35,28,57,147,167,104,87,63,71,57,52,36,36,33,21,6,28,2016
115,18,17,17,11,28,163,118,87,44,49,41,45,32,23,23,22,15,14,18,2016
116,12,9,9,20,18,129,153,72,49,45,39,47,44,27,33,38,25,16,27,2016
117,20,20,25,32,34,125,107,76,65,51,44,50,43,45,45,34,13,14,13,2016
118,26,21,30,29,32,80,81,73,52,49,65,59,60,49,57,38,22,15,15,2016
120,2,1,1,5,5,33,11,10,8,13,8,14,6,8,18,23,19,10,6,2016
121,5,2,5,4,5,11,14,10,7,8,3,6,5,5,2,2,2,1,2,2016
122,5,9,9,8,17,37,41,26,16,23,23,25,21,11,11,12,6,10,3,2016
123,1,0,0,1,1,3,2,1,2,2,1,0,2,0,0,0,0,0,0,2016
124,1,3,1,2,1,6,4,4,3,2,3,2,5,2,1,4,9,2,0,2016
130,14,10,10,11,19,133,157,78,45,34,30,26,21,22,18,6,5,6,20,2016
131,35,27,30,44,55,277,190,134,74,73,62,65,58,57,48,46,34,19,46,2016
132,22,15,21,17,26,83,73,74,46,44,38,34,21,24,17,21,36,36,31,2016
133,14,14,9,28,43,40,42,33,42,47,60,75,88,56,55,45,32,18,17,2016
134,1,3,0,3,6,11,9,3,3,1,4,4,1,4,1,2,0,0,0,2016
140,31,28,38,34,69,80,69,80,62,73,96,102,75,35,43,54,50,32,33,2016
150,19,22,24,37,33,58,65,57,51,62,62,49,33,24,28,29,20,16,12,2016
151,2,1,2,2,37,88,86,51,51,23,25,16,19,6,3,7,4,1,0,2016
152,8,6,14,24,15,8,30,23,21,30,26,28,34,14,22,18,8,8,4,2016
153,16,12,14,9,12,21,37,43,35,17,24,28,17,16,7,3,4,0,0,2016
200,26,15,22,33,45,81,77,69,49,67,56,55,68,54,60,50,37,22,19,2016
201,21,13,7,24,35,71,54,61,28,46,55,71,50,48,55,43,24,25,32,2016
202,11,12,11,15,18,43,30,48,29,43,26,40,27,16,24,20,20,19,19,2016
203,14,23,20,26,29,40,42,47,35,28,55,72,43,59,47,60,49,47,38,2016
210,13,16,25,13,21,52,53,50,26,53,41,35,48,46,44,51,20,13,10,2016
211,23,34,30,46,58,214,159,110,76,59,86,78,72,69,60,52,27,30,30,2016
212,10,20,18,20,15,50,68,37,25,27,40,43,36,32,25,28,23,10,12,2016
213,15,19,22,35,41,37,39,35,42,40,72,64,51,41,53,54,52,27,16,2016
214,28,26,29,37,43,128,106,103,86,61,62,55,41,48,62,36,35,17,16,2016
215,19,23,19,27,33,119,109,82,51,61,51,62,57,32,42,42,21,18,25,2016
220,22,24,25,43,50,71,50,54,42,52,54,87,65,71,58,43,27,19,12,2016
221,8,11,19,27,24,47,40,49,30,29,52,67,55,40,50,43,36,15,25,2016
222,6,11,19,17,24,22,28,24,24,26,39,44,39,31,42,33,22,16,11,2016
223,14,10,9,19,22,39,44,43,31,28,44,37,35,33,31,26,29,35,64,2016
224,8,6,4,16,20,31,31,31,27,26,32,35,40,19,36,16,26,35,28,2016
230,25,18,23,28,46,110,113,92,76,67,57,99,72,54,61,54,47,42,36,2016
231,31,37,83,122,109,91,89,87,113,143,121,87,67,44,40,40,34,28,70,2016
232,13,9,16,21,69,136,148,96,67,72,75,45,31,33,30,34,16,16,10,2016
240,17,11,20,23,25,99,103,84,45,54,52,55,60,43,42,33,37,22,47,2016
241,36,28,24,34,62,122,132,102,81,71,82,79,85,41,58,56,64,39,58,2016
242,12,13,13,15,25,49,65,48,29,46,56,55,42,55,46,34,31,12,16,2016
243,7,3,7,9,15,56,36,36,16,17,16,10,13,14,2,8,5,1,2,2016
244,23,17,27,32,37,97,95,92,74,58,95,88,60,54,70,43,28,15,7,2016
245,28,26,34,36,51,96,104,102,84,97,92,93,70,60,51,36,21,17,16,2016
246,31,30,22,40,20,57,59,74,48,36,56,44,43,42,59,23,31,12,12,2016
250,27,28,54,51,47,109,114,77,70,73,72,94,77,63,84,86,51,24,23,2016
251,11,9,15,12,25,24,37,34,30,23,31,32,20,26,31,40,45,34,27,2016
252,26,21,28,44,32,30,39,42,30,44,47,39,47,36,46,45,33,19,18,2016
253,23,19,25,24,34,52,52,40,28,34,51,66,62,33,33,22,16,39,33,2016
254,17,14,17,47,43,57,50,43,41,35,69,87,75,53,48,62,58,53,24,2016
255,25,34,51,95,104,83,75,85,87,85,110,123,106,71,127,171,146,91,44,2016
256,37,84,69,78,88,114,134,139,112,87,106,77,72,66,59,48,54,38,22,2016
260,10,13,14,27,12,17,26,28,17,26,43,38,23,24,51,58,36,13,6,2016
261,9,9,30,40,49,64,35,41,39,48,71,68,59,39,69,92,65,34,38,2016
262,24,11,22,37,30,56,41,45,33,39,55,46,37,33,28,51,48,43,26,2016
263,68,90,181,228,237,162,131,184,216,249,243,197,153,113,159,163,106,70,79,2016
300,29,30,29,53,47,113,110,103,82,67,98,90,76,75,67,44,55,41,99,2016
301,24,13,33,32,49,128,160,124,90,69,96,101,82,74,65,46,43,23,37,2016
302,26,21,29,46,38,123,128,89,75,48,69,57,62,45,37,45,35,21,29,2016
303,33,30,26,35,53,115,120,111,80,68,77,99,95,46,53,49,41,27,33,2016
304,15,17,33,39,58,89,109,96,75,48,93,76,55,45,37,45,39,29,20,2016
305,15,11,13,22,28,32,33,54,34,33,35,54,34,26,18,34,17,10,17,2016
306,2,1,3,2,12,6,5,5,4,9,12,6,7,3,11,13,1,3,5,2016
310,29,21,37,45,56,36,35,44,46,48,67,70,60,43,36,17,23,13,18,2016
311,7,5,9,8,13,9,14,15,13,13,14,15,12,6,6,1,9,4,0,2016
320,54,41,33,59,123,454,303,168,131,102,124,117,96,83,68,44,30,20,11,2016
321,26,20,19,23,39,260,224,117,95,60,56,62,56,28,39,22,32,18,17,2016
322,59,45,78,91,122,411,329,233,153,157,151,175,141,135,124,139,125,69,73,2016
323,2,0,1,3,2,22,18,22,14,8,9,10,10,2,5,3,1,1,0,2016
330,26,17,24,29,41,186,156,99,70,46,48,43,45,41,42,34,23,15,14,2016
331,5,6,10,12,13,25,31,27,22,16,28,24,19,18,20,20,18,7,11,2016
332,27,14,11,17,42,110,150,92,85,57,78,49,64,71,37,33,20,11,5,2016
333,65,61,79,110,110,175,199,231,174,194,185,165,130,108,100,76,60,29,27,2016
334,31,27,25,22,60,190,174,103,95,81,64,88,64,33,34,31,28,16,18,2016
335,70,50,61,67,78,251,261,202,178,184,128,160,125,117,110,99,70,30,20,2016
336,4,4,5,13,27,136,116,43,19,23,22,17,24,11,20,10,10,14,10,2016
337,0,1,1,0,2,0,1,0,1,3,0,4,1,0,0,0,0,0,2,2016
338,1,1,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,1,1,2016
339,0,0,0,0,4,2,3,0,0,1,1,1,2,2,5,1,0,0,1,2016
340,16,19,26,41,45,102,79,41,53,48,37,40,47,47,37,21,14,8,3,2016
341,55,83,145,196,179,225,202,193,179,227,218,218,157,119,95,101,92,62,93,2016
342,10,6,13,11,16,20,20,24,14,22,29,37,27,10,20,31,25,13,5,2016
343,10,9,9,14,24,71,80,62,30,32,45,43,48,26,25,14,14,12,7,2016
344,4,5,9,5,13,22,26,26,13,13,20,22,27,18,14,19,15,7,11,2016
345,19,10,15,16,29,72,70,49,31,30,24,27,30,19,31,24,11,6,3,2016
350,35,26,32,36,49,64,82,86,92,84,91,79,68,49,61,75,65,46,51,2016
351,14,11,17,14,18,28,45,39,41,31,34,27,32,16,15,26,20,11,13,2016
352,9,7,15,10,17,22,29,25,31,17,30,26,22,19,7,21,17,8,8,2016
353,11,5,11,23,27,25,25,31,28,28,40,40,36,23,32,33,34,14,16,2016
354,18,16,18,26,36,38,39,37,59,43,55,49,31,19,41,38,35,10,15,2016
355,8,6,11,16,20,26,34,22,14,24,29,22,20,13,12,22,12,8,5,2016
356,17,14,28,26,30,45,41,43,51,44,34,55,40,45,45,47,35,17,18,2016
357,21,22,28,61,67,69,76,60,45,52,92,168,174,106,76,39,23,14,4,2016
360,47,43,55,64,73,118,123,158,134,96,132,134,120,96,97,84,57,12,14,2016
361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
400,26,24,29,29,37,46,65,74,50,48,61,69,56,26,45,30,28,15,26,2016
401,19,16,16,24,22,25,46,51,52,39,46,29,25,13,21,14,12,4,18,2016
402,20,11,20,18,20,50,50,77,53,49,52,47,28,40,30,25,26,13,9,2016
403,9,12,12,12,23,44,41,26,24,24,29,35,21,32,25,22,14,13,14,2016
404,4,6,11,9,18,12,15,12,15,14,31,22,15,15,10,9,11,3,5,2016
410,4,7,4,8,9,8,6,5,7,10,17,18,10,2,5,7,9,4,2,2016
420,25,12,16,23,23,81,76,59,51,39,20,33,21,23,14,9,6,6,3,2016
430,2,6,9,14,13,28,24,21,22,20,32,17,25,22,24,31,26,17,12,2016
431,45,46,60,97,99,107,90,91,89,107,112,113,121,129,132,147,98,48,42,2016
500,13,24,24,29,33,36,38,45,35,57,59,63,24,27,21,17,11,9,2,2016
501,18,6,12,14,22,19,29,30,28,18,33,14,13,11,6,7,9,4,6,2016
502,7,5,3,9,4,6,12,13,13,9,6,5,11,3,10,8,4,2,3,2016
510,20,21,53,35,34,62,77,88,75,81,84,72,53,46,41,17,23,12,7,2016
511,22,25,29,35,40,71,54,54,51,47,74,63,29,39,47,79,66,48,40,2016
512,29,22,30,50,65,87,83,64,57,52,77,89,62,59,36,31,32,22,15,2016
513,18,17,33,62,56,40,49,34,46,59,62,68,42,29,30,16,18,13,21,2016
514,9,7,19,29,52,53,32,29,30,59,81,71,58,38,50,42,20,12,20,2016
520,13,14,24,14,58,139,145,64,56,36,20,18,8,4,4,1,1,0,2,2016
521,1,0,0,1,9,17,26,4,7,8,5,7,3,4,1,3,2,1,1,2016
522,0,0,0,0,0,1,0,2,2,2,3,0,2,1,0,0,0,0,0,2016
600,5,5,6,3,10,21,11,21,17,13,7,11,18,9,9,8,6,4,4,2016
601,12,14,26,29,30,36,24,32,37,45,52,54,45,29,33,33,25,13,6,2016
602,20,16,24,34,33,27,40,47,34,25,40,51,32,25,28,40,25,23,16,2016
603,2,1,0,7,11,17,13,10,11,10,7,22,12,8,8,10,6,4,4,2016
604,6,6,6,6,3,2,9,14,13,14,19,13,19,16,18,31,30,9,6,2016
605,0,0,0,0,1,1,1,0,1,1,2,0,0,1,1,1,0,0,1,2016
610,23,24,24,24,31,38,40,35,49,41,47,40,52,45,45,48,39,21,25,2016
611,14,12,20,23,39,30,28,27,45,46,74,62,41,34,25,28,15,5,7,2016
612,40,31,55,33,41,51,70,87,88,93,102,82,53,52,36,47,37,26,27,2016
620,6,4,7,9,23,53,43,32,23,24,31,29,15,18,14,13,11,7,4,2016
621,21,16,19,26,36,47,48,58,54,43,59,48,42,20,28,25,14,5,6,2016
622,26,22,28,34,47,81,75,72,57,69,78,70,55,57,45,48,27,10,9,2016
630,48,43,51,53,87,74,99,88,87,76,88,94,92,62,90,76,98,36,48,2016
