ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
631,8,7,20,33,45,36,25,20,28,39,59,42,29,75,132,104,85,49,58,2016
632,17,17,24,37,32,39,43,33,55,68,61,55,44,41,39,44,45,36,31,2016
633,35,33,58,66,48,49,51,67,57,72,78,78,64,55,104,138,91,36,12,2016
634,18,18,21,40,30,18,27,35,42,32,35,29,35,78,96,46,19,6,2,2016
700,17,12,31,27,34,19,31,33,20,41,52,33,27,43,31,34,27,12,22,2016
800,20,13,23,32,38,32,41,29,32,38,43,47,49,27,34,44,28,16,18,2016
801,36,33,46,71,71,67,64,54,79,83,116,101,79,50,43,49,34,19,19,2016
802,18,16,18,28,20,28,33,42,48,39,42,58,40,43,63,64,56,22,20,2016
0,7,4,6,6,14,39,34,23,29,26,13,30,26,18,16,14,11,13,1,2015
1,13,17,14,20,37,208,152,90,51,43,45,43,42,38,29,28,29,19,13,2015
10,5,5,4,3,12,58,50,34,19,29,26,19,25,18,14,21,9,8,7,2015
11,20,11,16,25,59,137,135,93,59,55,65,60,43,46,33,22,12,8,5,2015
12,25,20,24,22,32,151,129,96,73,70,63,78,46,47,52,59,33,15,19,2015
13,7,12,10,14,16,49,43,31,23,25,34,27,19,26,24,30,20,25,87,2015
14,13,9,13,12,21,71,73,40,36,39,29,36,24,28,18,20,5,5,2,2015
15,12,11,13,15,12,30,42,26,32,36,37,14,11,13,23,12,15,3,8,2015
20,4,6,8,2,14,83,72,41,43,28,26,25,12,16,12,10,2,8,9,2015
21,20,22,10,14,36,215,169,95,41,36,54,47,47,35,32,34,31,31,62,2015
30,13,14,14,23,34,171,155,89,54,48,54,45,51,31,31,23,33,16,16,2015
31,14,3,9,16,27,133,129,69,34,25,28,17,14,16,3,9,3,3,3,2015
32,16,3,14,16,15,114,84,60,44,36,32,29,27,28,26,36,27,21,37,2015
33,3,3,2,0,15,84,30,13,9,3,3,2,4,2,3,5,2,2,0,2015
40,6,0,7,9,17,72,81,28,11,20,23,17,10,15,14,17,3,4,8,2015
41,18,15,12,7,42,253,217,112,66,48,48,39,46,37,33,22,14,13,14,2015
50,14,16,7,10,10,28,43,34,20,17,21,19,29,11,14,6,8,5,3,2015
51,22,20,18,27,44,161,144,85,66,67,57,47,45,52,40,34,18,6,8,2015
52,16,5,17,15,28,73,76,53,37,33,38,27,29,38,26,23,16,8,3,2015
53,6,4,18,17,33,91,84,41,33,53,69,47,27,10,14,34,28,17,8,2015
60,17,17,19,18,15,57,74,42,38,45,47,41,41,41,38,37,25,16,14,2015
61,11,9,17,11,21,65,72,61,38,41,29,29,32,22,27,27,19,9,11,2015
70,13,19,22,29,30,65,70,46,53,51,63,51,43,32,31,39,23,17,23,2015
71,23,23,29,44,35,47,51,57,51,52,62,57,37,29,24,37,36,19,19,2015
72,43,28,38,51,52,105,95,90,92,81,107,96,78,57,74,58,35,32,25,2015
73,18,11,16,14,22,40,54,38,34,36,39,39,55,35,26,30,19,15,14,2015
74,14,18,19,34,40,72,60,75,46,50,76,79,41,40,41,36,13,19,25,2015
75,6,10,12,12,25,27,35,22,26,30,29,42,45,24,35,42,66,78,208,2015
80,39,48,59,75,79,93,67,81,87,79,131,148,120,95,72,79,44,21,12,2015
81,11,12,12,17,18,15,23,16,21,25,28,26,27,17,21,21,15,6,11,2015
100,20,16,17,15,41,166,135,86,49,36,34,29,46,37,22,22,17,9,19,2015
101,7,4,9,5,19,100,111,70,49,56,49,49,35,32,24,20,8,2,14,2015
102,25,16,9,23,30,166,141,94,89,58,67,63,46,44,36,40,24,9,14,2015
103,5,5,16,10,14,29,34,22,29,35,18,14,10,3,9,7,3,5,1,2015
104,17,17,19,19,24,124,113,69,52,32,50,34,36,43,25,31,12,8,10,2015
105,3,5,7,7,15,54,42,29,32,14,19,17,23,11,17,20,13,15,68,2015
106,9,9,7,8,16,54,69,43,46,34,33,24,23,22,8,20,12,5,7,2015
107,8,11,11,9,12,44,49,36,30,25,14,24,15,15,11,19,12,8,10,2015
110,11,10,8,13,16,86,86,46,31,36,36,33,23,14,35,18,8,10,16,2015
111,22,18,24,22,40,143,118,85,56,49,62,40,41,30,27,39,29,19,25,2015
114,34,26,35,31,37,165,169,106,86,59,68,58,54,30,35,37,15,12,26,2015
115,13,15,14,18,39,168,118,73,42,46,50,42,34,20,24,27,11,15,19,2015
116,10,11,10,17,24,134,126,81,39,43,46,47,39,31,32,39,21,21,28,2015
117,19,13,24,29,35,118,101,78,61,43,49,49,46,51,46,33,12,14,12,2015
118,18,19,29,32,35,78,81,76,51,48,60,67,61,45,55,41,17,13,16,2015
120,1,1,2,5,10,28,15,7,5,14,11,11,4,8,19,26,17,9,6,2015
121,2,2,4,6,4,7,8,17,3,7,7,6,8,2,4,2,3,0,2,2015
122,5,8,8,11,16,35,39,21,17,23,28,26,17,8,11,10,12,7,3,2015
123,1,0,0,1,0,0,4,1,2,2,2,2,1,0,0,0,0,0,0,2015
124,1,2,1,3,0,1,1,3,1,4,8,4,1,3,2,5,8,2,0,2015
130,22,6,14,7,17,133,149,78,46,30,30,23,18,19,18,6,5,9,16,2015
131,24,27,30,44,54,252,170,134,73,76,60,74,57,61,50,49,30,21,45,2015
132,18,11,23,13,28,73,79,72,49,36,40,33,24,22,23,28,35,31,33,2015
133,11,14,9,31,42,39,43,39,44,48,67,83,86,56,53,52,24,17,17,2015
134,1,3,0,3,5,10,5,2,4,3,3,5,0,4,0,2,0,1,0,2015
140,34,33,31,42,70,81,67,80,68,71,95,115,59,36,50,54,50,30,33,2015
150,20,25,22,34,28,63,61,56,40,57,67,42,30,24,27,31,13,17,12,2015
151,0,1,2,4,29,75,60,48,32,18,22,19,14,7,6,4,5,1,0,2015
152,13,6,17,25,12,12,23,20,27,28,32,25,30,12,22,17,6,8,4,2015
153,15,10,13,11,15,25,36,44,29,23,28,26,17,14,6,5,2,0,0,2015
200,27,15,26,30,53,67,65,65,51,69,61,53,64,65,60,52,33,22,16,2015
201,21,11,13,27,30,66,63,59,37,49,57,62,60,43,55,45,20,30,31,2015
202,8,13,12,13,15,38,32,43,43,28,35,40,22,19,20,22,23,19,15,2015
203,15,18,23,33,29,42,49,47,36,36,60,74,51,54,54,73,46,45,38,2015
210,12,15,21,12,16,47,54,54,32,45,43,33,48,50,45,50,14,11,12,2015
211,33,28,32,46,57,187,137,101,63,70,92,76,74,74,49,55,22,35,25,2015
212,16,11,18,15,17,65,54,36,25,32,40,40,29,35,21,32,21,14,9,2015
213,14,22,21,40,37,36,39,35,45,37,76,61,44,47,54,66,43,23,17,2015
214,23,23,36,29,44,115,101,96,78,70,52,54,37,54,59,42,30,19,15,2015
215,16,18,22,25,34,131,103,86,47,58,54,71,53,38,41,42,20,17,25,2015
220,21,25,25,52,55,67,62,73,49,60,69,81,77,76,59,39,29,19,13,2015
221,11,15,17,30,31,44,37,45,29,37,59,69,51,43,48,54,28,21,21,2015
222,13,11,16,17,22,22,30,32,25,26,41,43,37,32,39,29,26,18,10,2015
223,17,9,12,14,22,41,46,34,26,31,46,41,32,36,35,40,37,49,116,2015
224,7,6,9,13,16,30,30,33,27,25,34,25,38,22,31,17,27,37,24,2015
230,21,18,21,36,38,121,113,86,67,67,68,91,72,49,52,58,45,43,41,2015
231,42,42,93,118,104,86,84,93,122,139,106,85,60,44,36,41,27,27,72,2015
232,10,11,17,24,26,65,69,54,52,70,63,37,32,34,28,37,17,15,9,2015
240,16,14,21,24,32,91,107,70,50,59,49,57,54,48,42,38,35,27,40,2015
241,37,29,19,34,59,131,131,101,77,75,78,80,73,44,55,59,63,38,63,2015
242,14,13,14,19,26,43,64,41,35,52,52,53,48,51,45,41,26,9,19,2015
243,5,3,8,8,19,53,41,33,18,17,11,12,15,7,3,8,5,1,1,2015
244,19,21,20,36,39,84,87,75,75,65,103,76,55,53,77,37,23,15,6,2015
245,30,36,34,36,51,103,106,106,86,103,93,93,60,55,48,42,17,21,14,2015
246,32,26,19,36,22,46,50,66,44,31,57,38,36,51,46,35,18,17,13,2015
250,20,35,54,40,49,97,118,55,70,68,75,97,74,56,98,78,48,22,21,2015
251,10,11,10,16,23,23,40,33,24,29,24,34,26,21,31,44,46,33,26,2015
252,26,20,25,39,36,33,35,39,37,50,41,41,51,31,50,47,32,19,17,2015
253,18,14,20,28,35,55,33,39,31,38,59,65,62,27,34,20,16,45,30,2015
254,20,13,25,45,33,56,45,41,44,39,75,84,66,54,54,59,62,48,24,2015
255,23,28,59,89,95,69,54,88,63,87,112,118,75,73,133,195,119,96,32,2015
256,58,88,68,72,80,124,138,157,105,85,104,63,71,68,58,46,55,37,24,2015
260,6,14,16,25,13,23,28,25,19,29,45,35,24,28,50,60,30,12,4,2015
261,10,14,27,40,50,56,47,27,38,59,71,65,53,41,78,93,65,42,34,2015
262,19,11,24,32,32,43,47,31,37,39,62,37,44,25,38,59,40,39,26,2015
263,66,116,171,247,231,161,152,205,227,257,247,183,145,129,150,161,97,72,79,2015
300,34,22,34,52,47,99,115,113,80,77,94,92,74,74,57,58,45,43,96,2015
301,22,24,32,30,50,124,132,127,100,78,96,93,82,75,58,58,39,25,42,2015
302,29,21,34,37,45,106,102,95,76,57,73,64,65,40,38,49,32,19,34,2015
303,32,28,27,33,52,115,111,99,82,66,79,99,85,57,52,55,34,28,35,2015
304,22,26,28,48,64,84,125,70,79,53,87,71,57,39,39,47,37,31,17,2015
305,14,12,14,24,29,36,32,54,41,34,40,56,31,24,22,33,17,9,14,2015
306,0,3,2,3,10,6,4,4,5,11,11,9,4,7,9,12,0,4,4,2015
310,26,21,34,42,51,35,36,42,48,53,62,65,65,39,34,22,16,12,21,2015
311,5,6,8,4,10,10,12,16,10,9,17,14,8,6,6,4,7,3,1,2015
320,52,30,29,63,125,424,253,152,128,98,119,121,101,75,70,45,30,19,11,2015
321,31,15,17,23,42,251,202,122,82,57,58,63,46,25,40,30,26,18,18,2015
322,56,42,82,88,132,371,299,208,150,152,164,166,144,126,140,149,107,72,71,2015
323,2,0,3,0,6,20,19,8,14,9,7,9,6,2,6,4,1,0,0,2015
330,28,18,27,30,36,179,148,103,68,47,50,41,42,44,41,33,20,13,13,2015
331,4,8,7,16,14,22,26,21,12,19,29,25,19,20,21,19,15,7,11,2015
332,22,10,10,18,35,123,143,90,85,57,77,48,72,68,37,32,18,12,8,2015
333,55,59,90,103,112,186,208,214,172,181,196,157,126,107,86,87,51,22,29,2015
334,35,24,24,23,53,178,168,110,100,75,78,91,62,30,31,39,26,21,10,2015
335,80,44,57,64,84,256,213,207,171,178,160,142,127,104,114,101,55,28,22,2015
336,7,6,8,10,25,145,91,31,18,19,23,21,21,16,16,13,10,11,8,2015
337,0,1,1,0,2,0,1,1,3,1,1,4,0,0,0,0,0,1,1,2015
338,1,1,0,0,1,0,0,1,1,2,0,0,2,0,0,0,1,0,1,2015
339,0,0,0,0,4,3,2,0,0,1,1,2,2,2,5,1,0,0,1,2015
340,12,18,26,42,50,92,72,42,57,39,43,42,49,39,38,21,14,6,3,2015
341,66,87,143,184,180,207,189,181,190,218,237,204,159,126,82,120,76,57,85,2015
342,10,6,14,13,13,20,27,24,12,18,31,38,23,12,18,37,24,12,3,2015
343,9,9,11,9,27,64,73,57,34,31,48,50,41,26,25,14,14,13,8,2015
344,4,4,9,5,15,19,27,19,12,16,21,22,29,14,17,23,7,8,11,2015
345,5,5,11,6,29,49,63,27,33,22,21,31,25,21,25,22,10,7,6,2015
350,33,25,32,37,46,61,76,81,96,87,88,79,67,53,62,77,59,48,49,2015
351,15,10,18,12,12,32,55,36,36,35,33,35,26,21,12,26,22,11,12,2015
352,11,7,13,10,17,28,31,26,32,23,26,29,15,22,5,25,14,10,5,2015
353,12,5,13,21,24,23,28,33,25,34,39,38,31,31,30,33,29,20,13,2015
354,14,13,22,27,33,37,36,39,50,45,54,39,27,29,40,37,28,16,12,2015
355,9,7,11,18,22,29,26,24,14,24,27,19,20,14,10,22,9,8,5,2015
356,9,21,29,22,34,43,38,36,54,40,42,51,46,41,46,51,26,19,17,2015
357,15,22,33,54,75,76,91,50,47,47,116,174,177,93,66,42,17,14,3,2015
360,45,44,35,66,83,98,113,148,113,108,121,130,112,93,103,83,45,9,15,2015
361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015
400,23,27,33,30,38,45,54,69,57,58,57,67,50,27,40,30,23,16,22,2015
401,17,13,16,19,25,17,46,53,43,39,42,23,27,15,23,21,6,7,17,2015
402,24,10,24,15,25,39,65,72,46,54,56,42,35,38,26,28,24,11,9,2015
403,8,9,10,17,22,44,27,31,22,25,32,31,32,28,26,23,13,13,13,2015
404,4,10,10,10,18,10,11,14,15,14,28,20,19,15,8,10,10,2,8,2015
410,5,5,7,7,10,7,8,6,6,13,19,12,11,1,6,7,8,5,3,2015
420,23,9,20,22,24,61,76,67,49,34,19,33,20,21,13,10,5,7,2,2015
430,3,8,10,18,16,35,22,21,22,16,33,26,19,28,19,39,20,20,11,2015
431,39,43,57,93,93,112,75,97,88,111,123,98,127,131,133,160,83,48,33,2015
500,15,23,30,25,36,39,35,44,37,60,56,57,27,21,20,14,10,7,3,2015
501,8,5,13,10,21,15,27,26,17,19,27,11,14,8,4,8,8,5,5,2015
502,3,4,4,6,5,6,12,15,9,9,6,5,11,2,10,6,4,2,4,2015
510,20,20,38,28,38,53,78,76,68,78,80,70,45,49,36,24,21,10,7,2015
511,21,25,31,34,37,66,59,50,50,45,79,49,29,40,47,84,60,48,41,2015
512,16,17,35,43,61,89,75,55,49,60,80,77,67,64,26,38,30,23,22,2015
513,20,17,47,65,51,46,45,35,50,58,75,58,38,31,26,21,15,18,16,2015
514,8,4,18,28,55,48,21,30,39,58,77,71,50,43,44,39,21,14,22,2015
520,3,5,7,6,11,78,77,22,28,9,11,10,11,4,4,2,0,2,0,2015
521,1,0,0,3,3,0,4,0,5,7,3,8,3,4,2,4,1,1,1,2015
522,0,0,0,0,0,1,0,3,1,2,3,1,1,2,1,0,0,0,0,2015
600,4,5,4,4,10,17,11,16,12,12,9,12,15,7,9,11,4,6,4,2015
601,15,16,31,23,35,31,24,37,42,43,53,47,44,34,33,33,22,12,6,2015
602,19,17,24,37,32,32,45,45,34,33,42,48,29,26,30,41,25,23,16,2015
603,3,2,1,7,13,11,20,8,13,7,10,22,7,8,8,14,4,3,3,2015
604,2,4,6,3,3,4,8,9,10,13,18,11,21,14,20,41,19,10,5,2015
605,0,0,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,1,2015
610,19,22,25,19,33,37,25,39,42,40,45,42,52,36,47,50,39,16,27,2015
611,15,15,21,23,36,26,17,35,39,56,75,53,36,32,27,29,9,6,5,2015
612,42,28,48,31,40,48,70,80,85,90,93,66,60,48,34,55,28,25,25,2015
620,7,5,4,12,13,21,18,23,27,23,29,29,14,16,15,15,10,5,3,2015
621,16,24,15,38,28,46,44,61,54,43,58,59,38,18,23,24,13,4,9,2015
622,23,17,27,38,46,88,68,69,62,69,82,71,48,60,43,47,25,6,9,2015
630,51,38,42,55,76,83,99,100,79,74,97,83,85,69,82,95,83,47,46,2015
631,6,11,18,31,43,32,28,21,30,40,50,41,29,87,118,104,55,21,5,2015
632,18,15,24,29,32,46,32,46,48,68,54,54,47,36,35,50,38,36,33,2015
633,29,35,55,59,43,54,48,62,52,68,81,75,71,50,114,145,73,39,13,2015
634,14,20,19,38,29,16,28,37,42,30,36,28,43,88,81,42,19,7,2,2015
700,18,14,33,30,28,20,28,31,21,49,41,30,29,38,38,34,23,12,24,2015
