ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999
0,3,7,7,6,14,52,51,27,22,27,13,28,23,23,15,12,13,15,2
1,14,12,14,19,34,226,189,108,51,45,33,59,34,31,33,23,28,18,18
10,8,7,6,7,7,67,66,47,32,26,31,18,23,18,13,17,16,4,11
11,25,14,11,26,45,139,146,98,58,52,58,73,45,37,27,19,13,7,6
12,35,16,17,29,45,140,145,95,79,61,65,73,59,45,54,52,45,14,15
13,10,10,11,17,20,54,45,29,26,26,27,29,23,26,27,26,31,22,75
14,23,11,19,22,24,48,83,47,55,36,35,34,31,21,27,15,13,4,5
15,12,12,10,21,10,29,50,38,28,26,36,27,12,10,17,16,13,7,6
20,6,6,10,5,23,75,78,40,53,29,19,19,17,15,11,11,5,5,10
21,17,21,16,11,23,252,203,109,54,40,47,37,60,28,34,29,41,26,70
30,16,14,12,24,38,177,194,101,67,35,60,43,55,34,28,19,36,20,13
31,17,6,13,9,24,171,145,85,40,37,19,23,18,12,13,11,3,2,4
32,9,15,12,18,18,114,136,59,56,40,33,30,34,22,36,32,30,20,40
33,2,0,2,1,26,102,37,10,5,1,5,4,2,2,3,3,4,1,1
40,9,5,4,11,13,75,88,42,17,15,21,24,12,9,14,13,12,4,7
41,26,20,24,19,44,363,293,128,81,40,63,46,48,41,31,21,11,14,14
50,19,19,13,7,15,38,42,56,32,21,27,18,23,15,14,11,13,1,7
51,20,25,15,25,47,188,148,89,71,67,55,56,52,44,44,29,23,7,7
52,18,12,10,15,19,79,91,53,40,30,37,39,26,38,26,23,19,8,3
53,11,6,9,17,36,102,90,62,46,46,61,58,36,18,10,26,39,13,12
60,29,24,46,44,44,71,96,74,52,51,54,47,47,41,35,35,31,16,16
61,11,17,17,11,23,65,79,64,28,37,26,34,23,30,23,23,21,16,9
70,16,12,31,23,35,60,77,50,43,47,59,54,46,38,28,32,31,15,17
71,17,18,27,47,29,65,68,46,47,41,62,55,54,23,25,31,38,27,19
72,36,30,30,56,50,94,96,104,82,81,101,105,85,64,65,60,49,23,29
73,20,15,18,19,19,40,53,38,36,34,38,47,50,35,29,28,25,12,14
74,18,16,22,31,32,66,82,63,58,44,75,79,65,36,32,41,22,8,28
75,19,13,26,18,33,54,57,42,31,34,37,43,39,36,36,46,57,78,199
80,39,46,67,88,63,84,82,80,89,79,115,150,127,97,91,63,53,19,11
81,5,10,10,13,20,13,19,14,12,18,27,25,24,22,18,14,12,10,8
100,17,19,22,18,53,159,140,92,52,50,30,28,40,37,21,22,20,13,12
101,13,3,8,6,10,111,137,84,64,41,52,36,36,31,23,22,13,4,10
102,23,21,15,16,35,178,167,106,64,70,57,74,48,46,38,31,31,13,13
103,8,2,13,14,13,36,44,32,22,33,25,14,14,1,4,6,6,5,1
104,23,16,27,22,39,160,130,85,53,44,43,54,28,40,33,25,24,6,8
105,5,4,10,11,6,68,57,29,22,23,17,15,21,18,11,16,12,19,53
106,22,6,11,10,14,69,66,49,47,31,39,23,24,22,7,15,17,5,6
107,17,21,26,18,57,126,96,72,43,35,23,25,22,14,11,15,16,6,9
110,7,9,10,12,23,121,95,69,36,29,40,26,27,16,26,22,13,4,17
111,10,12,21,30,32,159,125,79,44,50,51,44,33,42,20,30,34,24,27
114,30,23,38,33,39,163,163,110,80,64,66,52,56,41,36,33,24,9,27
115,15,14,22,14,27,190,133,90,52,39,44,42,30,30,18,23,16,14,20
116,21,9,9,22,19,140,153,69,52,37,43,40,53,26,33,28,32,18,25
117,22,19,27,37,26,122,112,70,69,53,47,49,44,42,43,34,16,12,14
118,28,20,26,31,27,71,85,85,48,45,53,65,51,57,55,43,23,15,15
